White-King-File,White-King-Rank,White-Rook-File,White-Rook-Rank,Black-King-File,Black-King-Rank,Moves-To-Win
2,2,3,6,7,2,11
2,2,8,4,6,3,11
3,1,4,7,2,8,11
3,1,6,7,7,3,11
3,2,2,4,2,7,11
3,2,5,3,2,8,11
3,2,6,8,7,2,11
3,3,1,5,8,7,11
3,3,5,4,7,4,11
3,3,8,1,6,2,11
4,1,3,7,1,7,11
4,1,6,1,8,7,11
4,2,1,3,1,7,11
4,2,4,1,1,5,11
4,2,5,2,1,8,11
4,2,6,6,1,8,11
4,3,1,1,6,8,11
4,3,2,3,7,7,11
4,3,3,6,6,7,11
4,3,5,2,2,4,11
4,3,6,4,4,8,11
4,3,8,3,3,8,11
4,4,1,7,7,4,11
4,4,4,2,6,6,11
4,4,8,2,7,7,11
1,1,6,1,7,6,12
2,1,4,1,3,6,12
2,1,6,1,1,4,12
2,1,8,4,1,3,12
2,2,4,1,8,5,12
2,2,6,6,8,2,12
3,1,1,6,7,7,12
3,1,4,5,6,1,12
3,1,5,8,7,8,12
3,1,8,3,8,7,12
3,2,1,5,7,7,12
3,2,3,5,7,6,12
3,2,5,1,8,3,12
3,2,5,6,8,6,12
3,2,6,8,1,6,12
3,2,8,5,6,3,12
3,3,2,2,6,3,12
3,3,4,2,7,6,12
3,3,7,1,7,5,12
4,1,1,5,6,2,12
4,1,4,3,2,3,12
4,1,5,5,8,7,12
4,1,8,1,8,8,12
4,2,1,6,3,7,12
4,2,4,1,3,6,12
4,2,5,3,2,5,12
4,2,6,8,1,6,12
4,2,8,5,6,4,12
4,3,1,6,3,6,12
4,3,2,3,7,4,12
4,3,3,3,6,8,12
4,3,4,8,6,8,12
4,3,6,8,5,5,12
4,3,7,7,4,7,12
4,3,8,6,6,6,12
1,1,1,5,8,6,13
1,1,6,1,8,2,13
1,1,8,8,6,1,13
2,1,2,6,2,8,13
2,1,4,6,3,3,13
2,1,5,3,8,3,13
2,1,6,3,8,6,13
2,1,8,1,2,4,13
2,2,1,5,7,5,13
2,2,4,2,8,5,13
2,2,5,8,8,4,13
3,1,1,5,5,7,13
3,1,3,5,6,4,13
3,1,5,1,1,5,13
3,1,5,7,7,2,13
3,1,7,5,4,4,13
3,2,1,1,3,5,13
3,2,1,6,7,6,13
3,2,2,3,6,7,13
3,2,3,3,7,4,13
3,2,4,5,5,3,13
3,2,6,1,5,6,13
3,2,7,2,6,6,13
3,2,8,1,5,8,13
3,2,8,7,5,6,13
3,3,3,4,5,4,13
3,3,7,3,6,6,13
4,1,1,5,5,8,13
4,1,4,2,4,8,13
4,1,5,1,7,3,13
4,1,5,8,6,2,13
4,1,8,2,3,8,13
4,2,1,2,7,7,13
4,2,2,1,3,6,13
4,2,2,5,4,6,13
4,2,3,3,5,6,13
4,2,4,8,6,4,13
4,2,6,3,3,4,13
4,2,7,2,6,4,13
4,2,7,8,6,4,13
4,2,8,6,1,5,13
4,3,3,8,4,6,13
1,1,2,5,7,5,14
1,1,5,1,6,5,14
1,1,7,5,4,2,14
2,1,1,1,7,3,14
2,1,1,6,8,4,14
2,1,2,4,8,4,14
2,1,3,4,6,7,14
2,1,4,5,7,7,14
2,1,5,6,6,3,14
2,1,6,5,6,8,14
2,1,7,5,7,8,14
2,1,8,4,7,6,14
2,2,1,4,7,5,14
2,2,3,3,7,7,14
2,2,4,8,6,2,14
2,2,7,4,6,6,14
3,1,1,1,5,3,14
3,1,1,4,7,6,14
3,1,2,1,2,6,14
3,1,2,5,5,4,14
3,1,3,5,3,8,14
3,1,4,8,6,8,14
3,1,5,7,5,4,14
3,1,6,8,2,6,14
3,1,7,5,6,7,14
3,1,8,2,6,6,14
3,1,8,7,4,4,14
3,2,2,6,4,4,14
3,2,3,8,6,6,14
3,2,6,7,4,6,14
3,2,7,8,6,5,14
4,1,1,1,6,3,14
4,1,1,5,3,6,14
4,1,2,1,4,8,14
4,1,2,6,6,3,14
4,1,3,3,7,5,14
4,1,4,5,7,8,14
4,1,5,5,7,4,14
4,1,6,4,5,7,14
4,1,7,3,4,4,14
4,1,8,1,3,4,14
4,1,8,4,5,5,14
4,1,8,8,7,3,14
4,2,3,7,5,7,14
4,2,6,8,4,8,14
1,1,1,7,6,5,15
1,1,3,1,6,4,15
1,1,4,7,7,5,15
1,1,5,8,4,1,15
1,1,8,5,5,5,15
2,1,2,3,4,4,15
2,1,3,2,3,7,15
2,1,4,1,6,2,15
2,1,5,6,5,2,15
2,1,6,8,6,4,15
2,1,7,8,3,5,15
2,1,8,7,5,3,15
2,2,6,7,6,4,15
3,1,2,2,6,4,15
3,1,3,7,4,3,15
3,1,4,8,5,4,15
3,1,6,7,4,7,15
3,1,7,7,5,6,15
4,1,2,7,3,5,15
4,1,3,8,5,8,15
4,1,6,7,4,6,15
1,1,2,2,5,4,16
1,1,4,6,5,3,16
1,1,7,7,5,4,16
2,1,3,6,6,5,16
